window_id,window_start_index,train_start,train_end,test_start,test_end,scenario,power_multiplier,policy,public_energy_required_kwh,public_unmet_kwh,public_service_rate_percent,public_charging_cost,public_peak_load_kw,public_voltage_violation_rate_percent
2,1389,2016-05-07,2016-05-24,2016-05-25,2016-06-01,nominal_public,1.0,fedavg_local_safe,3780.318204,137.90673619199964,96.35198073944994,727.2009077727951,184.16721901681524,0.0
2,1389,2016-05-07,2016-05-24,2016-05-25,2016-06-01,nominal_public,1.0,fedavg_graph_safe,3780.318204,128.1641037165067,96.60970064422368,727.3727036870703,184.29491330842922,0.0
2,1389,2016-05-07,2016-05-24,2016-05-25,2016-06-01,nominal_public,1.0,grid_fedgat_no_guard,3780.318204,119.49359238105878,96.83905994329733,726.2621097157211,184.58470542539203,0.0
2,1389,2016-05-07,2016-05-24,2016-05-25,2016-06-01,nominal_public,1.0,grid_fedgat_pilot,3780.318204,44.056109168833174,98.83459257154023,729.6665231860142,184.25805980775183,0.0
2,1389,2016-05-07,2016-05-24,2016-05-25,2016-06-01,stressed_public_4x,4.0,uncontrolled,3780.318204,0.0,100.0,3124.378325880003,372.1752954375246,23.356119791666668
2,1389,2016-05-07,2016-05-24,2016-05-25,2016-06-01,stressed_public_4x,4.0,edf_safe,3780.318204,1524.3925311727403,59.675549810601595,1783.6928482875305,246.88127903698626,0.0
2,1389,2016-05-07,2016-05-24,2016-05-25,2016-06-01,stressed_public_4x,4.0,fedavg_local_safe,3780.318204,1701.4888646735972,54.99085598473612,1684.3772146616304,239.16232085782923,0.0
2,1389,2016-05-07,2016-05-24,2016-05-25,2016-06-01,stressed_public_4x,4.0,fedavg_graph_safe,3780.318204,1736.262948982936,54.07098410007456,1649.3007113907722,239.12583823267622,0.0
2,1389,2016-05-07,2016-05-24,2016-05-25,2016-06-01,stressed_public_4x,4.0,grid_fedgat_no_guard,3780.318204,1731.9224868526132,54.185801475123306,1650.6156400352554,242.23266131484993,0.0
2,1389,2016-05-07,2016-05-24,2016-05-25,2016-06-01,stressed_public_4x,4.0,grid_fedgat_pilot,3780.318204,1615.535613436362,57.26456011753338,1707.9156979964994,242.4295960950941,0.0
3,2084,2018-04-08,2018-04-25,2018-04-26,2018-05-03,nominal_public,1.0,uncontrolled,2893.242,0.0,100.0,624.8962900000002,189.24228943969155,0.0
3,2084,2018-04-08,2018-04-25,2018-04-26,2018-05-03,nominal_public,1.0,edf_safe,2893.242,17.361832472541035,99.3999177230062,598.9712793105333,183.34540257887892,0.0
3,2084,2018-04-08,2018-04-25,2018-04-26,2018-05-03,nominal_public,1.0,fedavg_local_safe,2893.242,134.00349738978176,95.36839651194813,574.0143107115398,183.97356874714345,0.0
3,2084,2018-04-08,2018-04-25,2018-04-26,2018-05-03,nominal_public,1.0,fedavg_graph_safe,2893.242,129.0429718847454,95.53984865819226,576.8297151467319,184.59376899677497,0.0
3,2084,2018-04-08,2018-04-25,2018-04-26,2018-05-03,nominal_public,1.0,grid_fedgat_no_guard,2893.242,124.85892004297583,95.68446330991407,573.7731092535992,183.42440785878742,0.0
3,2084,2018-04-08,2018-04-25,2018-04-26,2018-05-03,nominal_public,1.0,grid_fedgat_pilot,2893.242,64.18669834586171,97.78149569424674,581.2145419281286,185.78431585332768,0.0
3,2084,2018-04-08,2018-04-25,2018-04-26,2018-05-03,stressed_public_4x,4.0,uncontrolled,2893.242,0.0,100.0,2499.585160000001,414.8957568258946,15.576171875
3,2084,2018-04-08,2018-04-25,2018-04-26,2018-05-03,stressed_public_4x,4.0,edf_safe,2893.242,1028.6053636262411,64.44800111341391,1556.6471152746192,232.9368861622005,0.0
3,2084,2018-04-08,2018-04-25,2018-04-26,2018-05-03,stressed_public_4x,4.0,fedavg_local_safe,2893.242,1151.8032009961619,60.18987692712321,1483.1057061980669,232.9368764505698,0.0
3,2084,2018-04-08,2018-04-25,2018-04-26,2018-05-03,stressed_public_4x,4.0,fedavg_graph_safe,2893.242,1157.5237406430228,59.99215618178422,1480.3821558115649,232.93687813050911,0.0
3,2084,2018-04-08,2018-04-25,2018-04-26,2018-05-03,stressed_public_4x,4.0,grid_fedgat_no_guard,2893.242,1156.377657709198,60.031768593529414,1478.442025610884,235.95736971643623,0.0
3,2084,2018-04-08,2018-04-25,2018-04-26,2018-05-03,stressed_public_4x,4.0,grid_fedgat_pilot,2893.242,1092.8827165915002,62.22636348457888,1505.364729330839,232.93688409537594,0.0
4,2778,2020-03-12,2020-10-10,2020-10-16,2020-11-01,nominal_public,1.0,uncontrolled,2025.0120000000002,0.0,100.0,418.5563200000009,177.481692824214,0.0
4,2778,2020-03-12,2020-10-10,2020-10-16,2020-11-01,nominal_public,1.0,edf_safe,2025.0120000000002,0.9445661658957416,99.95335503365433,410.2204023182532,173.63589477036453,0.0
4,2778,2020-03-12,2020-10-10,2020-10-16,2020-11-01,nominal_public,1.0,fedavg_local_safe,2025.0120000000002,36.934757007039906,98.17607219082949,408.2347871522211,164.0705907852427,0.0
4,2778,2020-03-12,2020-10-10,2020-10-16,2020-11-01,nominal_public,1.0,fedavg_graph_safe,2025.0120000000002,39.565239429865656,98.04617259404559,407.7800405299988,164.3836812784755,0.0
4,2778,2020-03-12,2020-10-10,2020-10-16,2020-11-01,nominal_public,1.0,grid_fedgat_no_guard,2025.0120000000002,32.5929233741568,98.39048245767646,409.63733687444613,163.89997377082545,0.0
4,2778,2020-03-12,2020-10-10,2020-10-16,2020-11-01,nominal_public,1.0,grid_fedgat_pilot,2025.0120000000002,6.822866631708792,99.6630703111039,412.2396788681943,171.67238559788973,0.0
4,2778,2020-03-12,2020-10-10,2020-10-16,2020-11-01,stressed_public_4x,4.0,uncontrolled,2025.0120000000002,0.0,100.0,1674.2252800000035,318.13579879581226,7.096354166666667
4,2778,2020-03-12,2020-10-10,2020-10-16,2020-11-01,stressed_public_4x,4.0,edf_safe,2025.0120000000002,498.38849432780836,75.38836834903653,1257.480978874469,230.52078232891228,0.0
4,2778,2020-03-12,2020-10-10,2020-10-16,2020-11-01,stressed_public_4x,4.0,fedavg_local_safe,2025.0120000000002,566.365453085268,72.03150138936125,1217.0808697776022,235.46872505319888,0.0
4,2778,2020-03-12,2020-10-10,2020-10-16,2020-11-01,stressed_public_4x,4.0,fedavg_graph_safe,2025.0120000000002,576.1848619975967,71.54659518078923,1204.5555050840342,238.44527068751174,0.0
4,2778,2020-03-12,2020-10-10,2020-10-16,2020-11-01,stressed_public_4x,4.0,grid_fedgat_no_guard,2025.0120000000002,560.8693535146779,72.30291210547503,1224.216464377936,236.4346387338395,0.0
4,2778,2020-03-12,2020-10-10,2020-10-16,2020-11-01,stressed_public_4x,4.0,grid_fedgat_pilot,2025.0120000000002,537.805246994466,73.44187357929405,1234.2451685477488,241.21352016214354,0.0
