feeder,seed,policy,energy_required_kwh,unmet_kwh,service_rate_percent,charging_cost,peak_load_kw,voltage_violation_rate_percent,transformer_violation_slots,projection_calls,projection_runtime_ms_total,projection_runtime_ms_mean,training_rounds,clients_per_round,update_precision_bits,estimated_training_bytes,relative_bytes
compact,20260613,grid_fedgat_no_guard,4872.757998559619,169.2119854640639,96.52738786711585,895.9879638092824,223.62079320885084,0.0,0,672,787.3150883242488,1.1715998338158464,1.0,8.0,32.0,5984,0.09166666666666666
compact,20260613,grid_fedgat_pilot,4872.757998559619,83.25263745875098,98.29146784052563,873.7076634727784,224.4654802616611,0.0,0,672,810.9517823904753,1.206773485700112,1.0,8.0,32.0,5984,0.09166666666666666
compact,20260614,uncontrolled,5031.452343741157,0.0,100.0,1129.5229120384013,257.2899496066232,0.09300595238095238,0,0,0.0,0.0,,,,0,0.0
compact,20260614,edf_safe,5031.452343741157,16.09654185490508,99.68008159960159,998.8041870633411,221.9827651378695,0.0,0,672,799.5256497524679,1.1897703121316485,,,,0,0.0
compact,20260614,fedavg_local_safe,5031.452343741157,179.13076386655337,96.43978017421983,922.1874895799784,226.5358430631613,0.0,0,672,772.3465720191598,1.1493252559808926,60.0,8.0,32.0,42240,0.6470588235294118
compact,20260614,fedavg_graph_safe,5031.452343741157,166.49428113708154,96.69092997881236,924.2052888911591,225.34760168537807,0.0,0,672,760.9160589054227,1.1323155638473552,60.0,8.0,32.0,65280,1.0
compact,20260614,grid_fedgat_no_guard,5031.452343741157,172.4932962577255,96.57169969080006,913.7740455955361,226.93279172746398,0.0,0,672,760.7297259382904,1.1320382826462654,1.0,8.0,32.0,5984,0.09166666666666666
compact,20260614,grid_fedgat_pilot,5031.452343741157,78.51903344523458,98.43943601010336,891.5793996077763,232.2181228153205,0.0,0,672,761.7461662739515,1.1335508426695706,1.0,8.0,32.0,5984,0.09166666666666666
compact,20260615,uncontrolled,4821.160722030299,0.0,100.0,1140.8045154262243,267.39119569977794,0.16741071428571427,0,0,0.0,0.0,,,,0,0.0
compact,20260615,edf_safe,4821.160722030299,13.170232528550693,99.72682444564917,957.5098972496032,212.05963543444176,0.0,0,672,835.5176509357989,1.2433298377020816,,,,0,0.0
